hop_depth,mean_joint_fidelity_D,n_nodes_at_depth
0,1.0,1
1,0.9188,2
2,0.8384,6
3,0.7652,10
4,0.7132,10
5,0.6402,8
6,0.5856,9
7,0.5152,14
8,0.4427,18
9,0.4025,14
10,0.361,15
11,0.3405,14
12,0.3271,8
13,0.3066,10
14,0.2598,13
15,0.2523,14
16,0.2182,16
17,0.1899,17
18,0.1712,19
19,0.1567,23
20,0.1214,18
21,0.111,16
22,0.0999,22
23,0.085,18
24,0.0777,15
25,0.0671,13
26,0.0591,17
27,0.0529,15
28,0.0477,15
29,0.0455,12
30,0.0393,15
31,0.0354,13
32,0.037,11
33,0.036,16
34,0.0298,6
35,0.0239,7
36,0.0235,7
37,0.0194,9
38,0.0172,7
39,0.0136,4
40,0.0101,2
41,0.01,1
